epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,8473.12,1.10185,0.87155,1.20613,0.95592,0.9125,0.96651,0.68682,1.06579,0.64959,1.20923,0.0005348,0.0005348,0.0005348
76,8587.03,1.07454,0.86538,1.18147,0.91463,0.93747,0.95863,0.65936,1.1226,0.65501,1.23293,0.000515,0.000515,0.000515
77,8727.36,1.05347,0.85362,1.1641,0.93694,0.85,0.94143,0.68013,1.04907,0.63906,1.19907,0.0004952,0.0004952,0.0004952
78,8868.48,1.09768,0.86316,1.20003,0.8965,0.8625,0.94599,0.66537,1.08803,0.63957,1.24667,0.0004754,0.0004754,0.0004754
79,9015.49,1.12527,0.84161,1.21561,0.90835,0.9,0.95866,0.68457,1.07802,0.62379,1.23646,0.0004556,0.0004556,0.0004556
80,9155.98,1.05339,0.80697,1.17052,0.92654,0.9125,0.9609,0.69476,1.07227,0.58432,1.22866,0.0004358,0.0004358,0.0004358
81,9297.19,1.01129,0.79663,1.16074,0.90014,0.925,0.95568,0.66626,1.15562,0.61682,1.27804,0.000416,0.000416,0.000416
82,9438.46,1.05165,0.79918,1.16787,0.91384,0.92814,0.9444,0.67229,1.08984,0.641,1.23672,0.0003962,0.0003962,0.0003962
83,9581.99,0.99706,0.79059,1.15973,0.8814,0.9375,0.93643,0.67823,1.04514,0.62602,1.21431,0.0003764,0.0003764,0.0003764
84,9728.81,0.98874,0.76639,1.13674,0.88975,0.925,0.94038,0.67849,1.04365,0.63568,1.22436,0.0003566,0.0003566,0.0003566
85,9870.23,1.00572,0.80303,1.15441,0.85898,0.9625,0.94559,0.65699,1.10797,0.64458,1.28988,0.0003368,0.0003368,0.0003368
86,10015.5,1.01636,0.78789,1.13855,0.88284,0.9625,0.95288,0.6563,1.09545,0.62373,1.26092,0.000317,0.000317,0.000317
87,10158,0.98697,0.75362,1.1398,0.90881,0.9375,0.95399,0.67687,1.08065,0.59145,1.24394,0.0002972,0.0002972,0.0002972
88,10300.1,1.00456,0.78768,1.16241,0.92114,0.9375,0.95726,0.67962,1.06526,0.58086,1.22685,0.0002774,0.0002774,0.0002774
89,10442.7,0.99718,0.76783,1.15459,0.92677,0.94923,0.94468,0.68036,1.07206,0.58968,1.25153,0.0002576,0.0002576,0.0002576
90,10584.2,0.96136,0.7631,1.1504,0.93064,0.95,0.95721,0.68272,1.09707,0.59511,1.27451,0.0002378,0.0002378,0.0002378
91,10727,0.80125,0.55972,1.08218,0.90568,0.96024,0.95514,0.67204,1.10759,0.60331,1.29062,0.000218,0.000218,0.000218
92,10872.4,0.77777,0.52233,1.04648,0.87605,0.95,0.94153,0.67117,1.07097,0.60272,1.26385,0.0001982,0.0001982,0.0001982
93,11015,0.78287,0.50274,1.03467,0.88181,0.95,0.94572,0.6684,1.0755,0.59483,1.27202,0.0001784,0.0001784,0.0001784
94,11155.6,0.7658,0.49029,1.0322,0.87133,0.95,0.94174,0.67754,1.08341,0.59161,1.26953,0.0001586,0.0001586,0.0001586
95,11292,0.75799,0.50935,1.05337,0.87272,0.94287,0.93967,0.66868,1.08026,0.58888,1.26983,0.0001388,0.0001388,0.0001388
96,11434.7,0.79034,0.4964,1.05141,0.8915,0.9625,0.95351,0.67474,1.07694,0.59018,1.27344,0.000119,0.000119,0.000119
97,11573.9,0.73777,0.49351,1.04707,0.90122,0.975,0.95632,0.66968,1.07858,0.5958,1.27221,9.92e-05,9.92e-05,9.92e-05
98,11713.4,0.73921,0.47837,1.03858,0.90564,0.95978,0.95409,0.67108,1.07364,0.59733,1.26077,7.94e-05,7.94e-05,7.94e-05
99,11849.9,0.73559,0.48221,1.03344,0.89481,0.9625,0.95406,0.6813,1.06896,0.59819,1.25676,5.96e-05,5.96e-05,5.96e-05
100,11988.8,0.73058,0.46654,1.03177,0.92149,0.9125,0.94013,0.67866,1.07481,0.60313,1.25979,3.98e-05,3.98e-05,3.98e-05
